Date,Review,Review_Topic,Review_Entity,Topics,Names,Representation,Representative_Docs,Positive,Neutral,Negative,Highest Score,Sentiment,Token Predictions Corrected
4 de dezembro de 2023,"Atendimento maravilhoso! Matheus foi muito atencioso e colocou nossa playlist.
Todos os atendentes super simpaticos",atendimento matheus playlist atendente,"Atendimento maravilhoso! Matheus foi muito atencioso e colocou nossa playlist.
Todos os atendentes super simpaticos",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.9895428419113159,0.006003672257065773,0.004453414119780064,0.9895428419113159,Positive,"[('Matheus', 'I-PER')]"
2 de dezembro de 2023,Gostei muito dos pratos e do atendimento. Muitos solicitos. A comida estava saborosa. Com certeza volto mais vezes!,prato atendimento comida certeza,Gostei muito dos pratos e do atendimento. Muitos solicitos. A comida estava saborosa. Com certeza volto mais vezes!,1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.626670241355896,0.0770699605345726,0.2962598204612732,0.626670241355896,Positive,[]
1 de dezembro de 2023,"Eu amei, é a melhor cozinha mexicana que eu já comi. E o espaço é muito animado, imersivo! A decoração da casa é linda e o atendimento excelente sempre.",cozinha espaco decoracao caso atendimento,"Eu amei, e a melhor cozinha mexicana que eu ja comi. E o espaco e muito animado, imersivo! A decoracao da casa e linda e o atendimento excelente sempre.",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.9678549766540527,0.019303789362311363,0.012841242365539074,0.9678549766540527,Positive,"[('mexicana', 'I-MISC')]"
27 de novembro de 2023,"Amomamos o atendimento do Matheus e do, tudo ótimo amamos o atendimento, sensacional! A comida muito saborosa",atendimento atendimento comida,"Amomamos o atendimento do Matheus e do, tudo otimo amamos o atendimento, sensacional! A comida muito saborosa",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.979101300239563,0.012173973023891449,0.008724753744900227,0.979101300239563,Positive,"[('Matheus', 'I-PER')]"
20 de novembro de 2023,Muito divertido e ótima comida. Deu para matar um pouco da saudade do México. Fomos muito bem atendidos pela Kaylane e o Victor. Certamente voltaremos.,comida saudade,Muito divertido e otima comida. Deu para matar um pouco da saudade do Mexico. Fomos muito bem atendidos pela Kaylane e o Victor. Certamente voltaremos.,1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.7720741629600525,0.047670237720012665,0.18025563657283783,0.7720741629600525,Positive,"[('Mexico', 'I-LOC'), ('Kaylane', 'I-PER'), ('Victor', 'I-PER')]"
20 de novembro de 2023,"Excelente comida, ambiente e atendimento ! Parabéns Kaylane e Matheus!  Cozinha também está de parabéns!",comida atendimento parabens cozinha parabens,"Excelente comida, ambiente e atendimento ! Parabens Kaylane e Matheus!  Cozinha tambem esta de parabens!",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.9625285863876343,0.019523806869983673,0.017947616055607796,0.9625285863876343,Positive,"[('Kaylane', 'I-PER'), ('Matheus', 'I-PER')]"
19 de novembro de 2023,"Quem me atendeu foi o garçom Mateus, que foi muito atencioso e educado! Nos ajudou nos indicando pratos e bebidas",garcom prato,"Quem me atendeu foi o garcom Mateus, que foi muito atencioso e educado! Nos ajudou nos indicando pratos e bebidas",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.9289231300354004,0.02396225742995739,0.047114647924900055,0.9289231300354004,Positive,"[('Mateus', 'I-PER')]"
12 de novembro de 2023,"Comida boa, rodízio completo porém muiiiiiita demora entre um prato e outro, o atendimento é bom, pessoal simpático.",comida rodizio demor prato atendimento pessoal,"Comida boa, rodizio completo porem muiiiiiita demora entre um prato e outro, o atendimento e bom, pessoal simpatico.",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.7524515986442566,0.05040053278207779,0.19714784622192383,0.7524515986442566,Positive,[]
1 de novembro de 2023,"Experiência completa incrível, comida gostosa e serviço impecável. Recomendo para todos aproveitarem um momento especial.",experiencia comida servico momento,"Experiencia completa incrivel, comida gostosa e servico impecavel. Recomendo para todos aproveitarem um momento especial.",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.8836683630943298,0.04962892457842827,0.06670275330543518,0.8836683630943298,Positive,[]
8 de outubro de 2023,"Lugar muito bom e agradável, comida boa e atendimento muito bom, os atendentes são simpáticos, voltaria mais vezes",lugar comida atendimento atendente vez,"Lugar muito bom e agradavel, comida boa e atendimento muito bom, os atendentes sao simpaticos, voltaria mais vezes",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.8766726851463318,0.025855667889118195,0.09747163206338882,0.8766726851463318,Positive,[]
23 de setembro de 2023,Garçom muito atencioso e sabe balançar a cabeça muito bem. Comida deliciosa. Ambiente muito agradável.,garcom cabeca comida ambiente,Garcom muito atencioso e sabe balancar a cabeca muito bem. Comida deliciosa. Ambiente muito agradavel.,1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.8375264406204224,0.03757895156741142,0.1248946562409401,0.8375264406204224,Positive,"[('com', 'I-PER')]"
12 de setembro de 2023,"Apresentação de drinks e uma atendimento de excepcional! 
Matheus foi muito atencioso e nos fez degustar bastantes da culinária mexicana!",apresentacao atendimento matheus culinaria,"Apresentacao de drinks e uma atendimento de excepcional! 
Matheus foi muito atencioso e nos fez degustar bastantes da culinaria mexicana!",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.8623359203338623,0.03513700142502785,0.10252708941698074,0.8623359203338623,Positive,"[('Matheus', 'I-PER'), ('mexicana', 'I-MISC')]"
29 de agosto de 2023,"Lugar lindo, comida impecável e atendimento incrível prestado pelas colaboradoras Maria e Glória! Excelente custo benefício! Recomendamos!",lugar comida atendimento colaboradora gloria custo,"Lugar lindo, comida impecavel e atendimento incrivel prestado pelas colaboradoras Maria e Gloria! Excelente custo beneficio! Recomendamos!",1,1_comida_atendimento_ambiente_lugar,"['comida', 'atendimento', 'ambiente', 'lugar', 'prato', 'preco', 'mesa', 'pena', 'garcons', 'local']","['ambiente atendimento comida', 'ambiente atendimento comida', 'ambiente comida atendimento comida']",0.9367669820785522,0.023432521149516106,0.03980046883225441,0.9367669820785522,Positive,"[('Maria', 'I-PER'), ('Gloria', 'I-PER')]"
