Review,Topics,Positive,Neutral,Negative,Token Predictions Corrected
"Comemorando meu aniversário, ótimo atendimento e ótimo lugar, comida muito boa e climatização especial",3,0.9444065690040588,0.020998500287532806,0.03459496051073074,[]
Fomos muito bem atendidos no restaurante. Pratos muito bem servidos. Para quem vai com criança eles tem pratos kids. A sobremesa de churros é muito boa. E para aniversariante da semana eles tem umas promoções legais.,3,0.9200751185417175,0.03127133473753929,0.04865363612771034,[]
Adorei! Foi um dia maravilhoso! Obrigada pela atenção da reserva e pela refeições. Os drinks estavam maracilhosos,3,0.9558669328689575,0.014180856756865978,0.029952218756079674,[]
"Sempre que venho aqui me DIVIRTO MUITO, comemoro meus aniversários há 4 anos e também incentivo à todas as amigas comemorarem aqui! Amo o atendimento rápido, eficiente e sempre em alto astral. Casa toda temática, cheirosa e com personagens, isso chama ainda mais atenção. 
Além...Mais",3,0.9177411794662476,0.03077806904911995,0.051480647176504135,[]
"Atendimento excelente, ambiente aconchegante, recomendo!
Comemoramos o aniversário de duas amigas e saímos muito satisfeitas.",3,0.9909765124320984,0.005266339518129826,0.0037571596913039684,[]
"Excelente lugar para comemorações e encontro com amigos e familiares.
Esse bar temático além de ter uma comida especializada e muito saborosa cobra preços justos !",3,0.9724035263061523,0.016998331993818283,0.010598137974739075,[]
"Fui comemorar aniversário de uma amiga, e a noite foi melhor que esperávamos! Ambiente pra quem gosta e quem nao gosta de zoar, acomoda desde crianças a senhoras, que foi o caso do nosso grupo! Comidas deliciosas! Adorei e recomendo muito!",3,0.9175417423248291,0.022706039249897003,0.05975213274359703,[]
"Lugar animado, com boa música, bons drinks e boa comida! Viemos comemorar um aniversário e já rimos muito! Vale a pena!",3,0.9834355711936951,0.007465532049536705,0.009098983369767666,[]
"Vim comemorar o meu aniversário e antes de chegar lá já curti o agendamento de reserva no site. Simples, prático e eficiente.

Na recepção foram bem simpáticos, o atendente da nossa mesa nos serviu muito bem a tequila com apresentação e tudo.

Atendimento e comida...Mais",3,0.859153687953949,0.07495169341564178,0.06589455157518387,[]
"Comida boa e Matheus fez um ótimo atendimento! 
Gostamos do ambiente e da comida.  
O ambiente é muito bom para comemorar aniversários!",3,0.8735600113868713,0.0278170146048069,0.09862291067838669,"[('Matheus', 'I-PER')]"
Ótima experiência.  Excelentes atendentes e comida muito boa!Além de muito divertido! Fomos com amigos comemorar o aniversário de uma amiga e foi ótimo! Claiton e Rodrigo foram muito queridos!,3,0.9837095737457275,0.007373327389359474,0.008917178958654404,"[('Claiton', 'I-PER'), ('Rodrigo', 'I-PER')]"
Ótimo lugar e diferente para várias ocasiões de comemorações!!! Os personagens são bastante interessantes!! Adorei,3,0.9557215571403503,0.01952512376010418,0.02475333772599697,[]
"Muito bom, ambiente tranquilo. E excelente para comemoração de meu aniversário, voltarei outras vezes .",3,0.9467397332191467,0.018655851483345032,0.034604430198669434,[]
"Fui no dia 10 de dezembro com o meu namorado comemorar o meu aniversário e saímos satisfeitos. Pedimos dois pratos que já me recordo o nome, mas vou explicar o que era: Uma pedra com tiras de Mignon e Frango e acompanhava umas porções de...Mais",3,0.5401485562324524,0.13678567111492157,0.32306578755378723,[]
"Achei o ambiente com decoração linda, gostei da comida e drinks. Os pratos e bebidas chegaram rápido, era uma quarta-feira com pouco movimento.
Fui para comemorar meu aniversário, há cortesias e isso é sempre um ponto positivo.
Ponto alto são os cantores, muito divertido!
O...Mais",3,0.9616098999977112,0.019404446706175804,0.018985651433467865,[]
