Review,Topics,Positive,Neutral,Negative,Token Predictions Corrected
"Otimo restaurante vale destacar Funcionário André foi muito cordial, atendimento top.... drinks exercestes",5,0.34499096870422363,0.051936324685811996,0.6030726432800293,"[('André', 'I-PER')]"
"Restaurante muito bom, comida excelente, atendimento de primeira, sobremesas ótimas, bebidas tb. Recomendo os sorvetes na sobremesas não existe igual!!!
Preço bom no geral!!!!",5,0.8958507180213928,0.025243494659662247,0.0789058580994606,[]
"Amo, eu adoro esse restaurante! Cada vez que venho aqui é uma experiência única! Alisson e André são os melhores!",5,0.9316825866699219,0.043734241276979446,0.02458322048187256,"[('Alisson', 'I-PER'), ('André', 'I-PER')]"
"Um dos melhores restaurantes que já fui no Rio com a união de um restaurante animado com a comida muito boa. Muito divertido, atendimento excelente, comida uma delicia. Adorei e super indico",5,0.961280882358551,0.018073569983243942,0.020645514130592346,"[('Rio', 'I-LOC')]"
"Restaurante de altíssima qualidade, atendimento muito perfeito, lugar super aconchegante e lindo demais.",5,0.7453121542930603,0.042090125381946564,0.2125977873802185,[]
"Excelente restaurante comida bebida e diversão adoramos e recomendamos, com certeza diversão para toda família lugar muito bonito e especial!!!",5,0.9911623001098633,0.00619144830852747,0.002646263223141432,[]
Ambiente excelente e ótimo atendimento. Recomendo a comida e bebida do restaurante. O que é bem legal é a caracterização dos profissionais.,5,0.9234326481819153,0.035072311758995056,0.041495125740766525,[]
"Bom restaurante, com bom atendimento, animado, petisco gostoso, molho bom, ambiente agradável. Recomendo?",5,0.8289169669151306,0.03957739099860191,0.13150566816329956,[]
"Restaurante muito animado, tequuleiro gabriel sensacional, atendimento rapido e otimo, um dos meus preferidos.",5,0.9173883199691772,0.02018192782998085,0.06242969259619713,"[('gabriel', 'I-PER')]"
"Comida gostosa, ótima atração e a temática do restaurante é show! Fui atendida por funcionários sensacionais. Super recomendo!",5,0.9664372801780701,0.018966548144817352,0.01459623221307993,[]
"Restaurante climatizado, com boa comida e preço acessível. Bebidas de ótima qualidade é um clima de muito alto astral.",5,0.8626307845115662,0.06446194648742676,0.07290726155042648,[]
Eu fui no restaurante com um grupo de amigos e a Comida  estava muito boa e atendimento incrível! Recomendo,5,0.6619846820831299,0.04649081453680992,0.2915244698524475,[]
"Restaurante maravilhoso,atendimento nota 10, excelentes profissionais, pretendo volta em breve com amigos e familiares.",5,0.9887827038764954,0.0071175480261445045,0.00409972108900547,[]
"O restaurante tem um clima maravilhoso! As comidas são bem temperadas e as quartas tem dose dupla de Margueritas.
Não gostei muito do tempero da carne seca do taco, a presença da pimenta do reino estava exagerada. Mas todo o restante compensou. O atendimento é...Mais",5,0.8627641797065735,0.04408305883407593,0.09315274655818939,"[('Margueritas', 'I-MISC')]"
